1.794388188,0.590745083,1945.5
0.844246477,0.307439776,1596.51
0.902413065,0.257481989,1440.65
0.499268188,0.232587321,1223.03
0.679559478,0.170352155,1096.5
0.445334896,0.170352155,922.79
0.221896972,0.170352155,768.21
0.540168582,0.304671616,806.68
0.055474243,0.170352155,644.92
0,0.68835468,602.51
3.585185536,2.536590471,515.53
2.228721227,2.463851316,458.39
1.720889057,0.845530157,565.76
1.446024833,0.845530157,539.51
0,0.26106077,395.42
2.362176083,1.678979396,343.37
0.057509995,0.07266979,317.9
0,0.605545852,271.72
3.40149897,0.710842554,1176.45
0.972322926,0.171984479,853.92
2.268544055,0.899250863,1159.52
0.767987457,0.167705705,755.7
2.212309547,0.705107299,1031.97
1.210414809,0.436935044,621.64
3.224572326,0.631980447,797.48
1.999108503,1.746184257,490.45
9.315803966,4.179442291,2208.02
